research_question,family,outcome,group_variable,group_a,group_b,u_statistic,p_value_raw,rank_biserial_correlation,p_value_bh_within_family,significant_bh_0_05
RQ1,Word count by income category,word_count,income_category,High,Low,37813.5,0.4690883355749228,-0.03536989795918366,0.8343799978600503,False
RQ1,Word count by income category,word_count,income_category,High,Lower-Middle,38073.0,0.5562533319067002,-0.028750000000000053,0.8343799978600503,False
RQ1,Word count by income category,word_count,income_category,High,Upper-Middle,39268.5,0.9716658039452212,0.0017474489795918924,0.9716658039452212,False
RQ1,Word count by income category,word_count,income_category,Low,Lower-Middle,39424.5,0.9068567620667617,0.0057270408163265785,0.9716658039452212,False
RQ1,Word count by income category,word_count,income_category,Low,Upper-Middle,40645.5,0.45038025651097313,0.03687499999999999,0.8343799978600503,False
RQ1,Word count by income category,word_count,income_category,Lower-Middle,Upper-Middle,40357.5,0.5456127275074378,0.0295280612244897,0.8343799978600503,False
RQ2,Specificity by income category,specificity_score,income_category,High,Low,56785.0,1.739668765857434e-23,0.4485969387755102,1.0438012595144603e-22,True
RQ2,Specificity by income category,specificity_score,income_category,High,Lower-Middle,49507.5,1.5472001805364496e-08,0.26294642857142847,3.094400361072899e-08,True
RQ2,Specificity by income category,specificity_score,income_category,High,Upper-Middle,46947.0,2.683163512048265e-05,0.1976275510204082,3.2197962144579175e-05,True
RQ2,Specificity by income category,specificity_score,income_category,Low,Lower-Middle,31288.0,1.6504746956563425e-06,-0.20183673469387753,2.4757120434845135e-06,True
RQ2,Specificity by income category,specificity_score,income_category,Low,Upper-Middle,27923.0,3.5338649276262666e-11,-0.28767857142857145,1.06015947828788e-10,True
RQ2,Specificity by income category,specificity_score,income_category,Lower-Middle,Upper-Middle,36186.0,0.0908024692512121,-0.07688775510204082,0.0908024692512121,False
RQ3,Religion mentions by income category,religion_mentions,income_category,High,Low,30771.0,1.3556488744516716e-10,-0.21502551020408167,4.066946623355015e-10,True
RQ3,Religion mentions by income category,religion_mentions,income_category,High,Lower-Middle,37140.0,0.046657391501775884,-0.052551020408163285,0.05598886980213106,False
