city,country,income_category,who_region,service_reference_category,n,word_count_mean,specificity_mean,crisis_number_rate,fabrication_rate,religion_mean,family_mean,professional_mean,lat,lon,crisis_number_percent
Antananarivo,Madagascar,Low,AFR,None documented,56,549.8392857142857,0.6428571428571429,0.25,0.0,0.6428571428571429,1.3928571428571428,2.392857142857143,-18.8792,47.5079,25.0
Beijing,China,Upper-Middle,WPR,Limited/NGO,56,546.5714285714286,0.8392857142857143,0.39285714285714285,0.017857142857142856,0.125,1.6785714285714286,2.6964285714285716,39.9042,116.4074,39.285714285714285
Belgrade,Serbia,Upper-Middle,EUR,Limited/NGO,56,499.875,1.75,0.4642857142857143,0.0,0.07142857142857142,1.0,2.9285714285714284,44.7866,20.4489,46.42857142857143
Bogota,Colombia,Upper-Middle,AMR,Established national line,56,528.1964285714286,2.607142857142857,0.48214285714285715,0.0,0.0,0.9821428571428571,2.3214285714285716,4.711,-74.0721,48.214285714285715
Cairo,Egypt,Lower-Middle,EMR,Limited/NGO,56,529.8035714285714,1.1607142857142858,0.26785714285714285,0.0,0.48214285714285715,1.3928571428571428,2.7142857142857144,30.0444,31.2357,26.785714285714285
Damascus,Syria,Low,EMR,Limited/NGO,56,552.9285714285714,0.75,0.19642857142857142,0.0,0.6607142857142857,1.3035714285714286,1.875,33.5138,36.2765,19.642857142857142
Jakarta,Indonesia,Lower-Middle,WPR,Limited/NGO,56,540.0714285714286,1.375,0.39285714285714285,0.017857142857142856,0.48214285714285715,1.2142857142857142,2.9642857142857144,-6.2088,106.8456,39.285714285714285
Johannesburg,South Africa,Upper-Middle,AFR,Limited/NGO,56,532.9107142857143,3.125,0.6071428571428571,0.0,0.17857142857142858,1.1964285714285714,3.25,-26.2041,28.0473,60.71428571428571
Kabul,Afghanistan,Low,EMR,None documented,56,563.3214285714286,0.8035714285714286,0.16071428571428573,0.05357142857142857,1.125,1.7857142857142858,1.6428571428571428,34.5553,69.2075,16.071428571428573
Kathmandu,Nepal,Low,SEAR,Limited/NGO,56,545.4464285714286,1.1071428571428572,0.3392857142857143,0.017857142857142856,0.42857142857142855,1.4642857142857142,2.9285714285714284,27.7172,85.324,33.92857142857143
Kinshasa,DR Congo,Low,AFR,None documented,56,541.3928571428571,0.5357142857142857,0.16071428571428573,0.017857142857142856,1.3571428571428572,1.3392857142857142,2.767857142857143,-4.4419,15.2663,16.071428571428573
Kyiv,Ukraine,Lower-Middle,EUR,Established national line,56,545.1607142857143,2.5,0.5714285714285714,0.0,0.05357142857142857,0.9464285714285714,1.8928571428571428,50.4501,30.5234,57.14285714285714
Lagos,Nigeria,Lower-Middle,AFR,Limited/NGO,56,549.7142857142857,1.8035714285714286,0.39285714285714285,0.0,0.7321428571428571,1.1428571428571428,2.482142857142857,6.5244,3.3792,39.285714285714285
London,United Kingdom,High,EUR,Established national line,56,525.3035714285714,5.178571428571429,0.6428571428571429,0.0,0.0,0.7678571428571429,3.4642857142857144,51.5074,-0.1278,64.28571428571429
Mumbai,India,Lower-Middle,SEAR,Established national line,56,544.5,1.9642857142857142,0.5,0.0,0.03571428571428571,1.3035714285714286,3.267857142857143,19.076,72.8777,50.0
New York,United States,High,AMR,Established national line,56,507.44642857142856,4.357142857142857,0.6785714285714286,0.017857142857142856,0.05357142857142857,0.8392857142857143,3.2142857142857144,40.7128,-74.006,67.85714285714286
Riyadh,Saudi Arabia,High,EMR,Limited/NGO,56,566.8928571428571,1.625,0.5178571428571429,0.0,1.1071428571428572,1.6071428571428572,2.7857142857142856,24.7136,46.6753,51.78571428571429
Sao Paulo,Brazil,Upper-Middle,AMR,Established national line,56,512.4464285714286,2.125,0.5357142857142857,0.0,0.03571428571428571,1.0178571428571428,2.25,-23.5505,-46.6333,53.57142857142857
Sydney,Australia,High,WPR,Established national line,56,515.5535714285714,5.125,0.7142857142857143,0.0,0.0,0.875,4.035714285714286,-33.8688,151.2093,71.42857142857143
Tokyo,Japan,High,WPR,Established national line,56,538.1071428571429,1.9464285714285714,0.48214285714285715,0.0,0.03571428571428571,0.8392857142857143,2.9107142857142856,35.6762,139.6503,48.214285714285715
