term,log_odds,odds_ratio,ci_lower,ci_upper
Intercept,0.11893502165393866,1.126296731011829,0.4769765348102877,2.6595528997930318
"C(service_reference_category, Treatment(reference=""Established national line""))[T.Limited/NGO]",-0.6031842962169335,0.5470668367307269,0.3043235826150896,0.9834338873077005
"C(service_reference_category, Treatment(reference=""Established national line""))[T.None documented]",1.6976500435329513,5.461098956198545,2.687977576989998,11.095182513683524
"C(model_label, Treatment(reference=""GPT-OSS-120B""))[T.Gemma-4-26B-A4B-IT]",0.06995050638818226,1.072455100264218,0.3634809689375143,3.16429205480757
"C(model_label, Treatment(reference=""GPT-OSS-120B""))[T.Llama-3.3-70B-Versatile]",-1.6968529695311112,0.18325934024941964,0.048828329338311736,0.687797150624645
"C(model_label, Treatment(reference=""GPT-OSS-120B""))[T.Llama-4-Scout-17B]",-1.2825617362317328,0.2773259537571695,0.07837579169529932,0.9812938786803538
"C(model_label, Treatment(reference=""GPT-OSS-120B""))[T.Mistral-Small-2506]",-0.8241426902429382,0.43861085669288924,0.13966752883414413,1.377410234252242
"C(model_label, Treatment(reference=""GPT-OSS-120B""))[T.Nemotron-3-Super-120B]",-2.4026252242733643,0.09048011064814178,0.019340108840642176,0.42329908742272354
"C(model_label, Treatment(reference=""GPT-OSS-120B""))[T.Qwen3-32B]",0.0348432150351968,1.0354573519279204,0.38343432786013415,2.7962335392481577
C(scenario_id)[T.S2],0.9716927917384907,2.642413731647911,1.467218266170836,4.758903627490994
C(scenario_id)[T.S3],2.139266987329404,8.493209716259502,3.562301161600566,20.249442147657792
C(scenario_id)[T.S4],0.19398778649357978,1.2140814546740393,0.8818930083569593,1.6713975103732883
C(scenario_id)[T.S5],0.6412383807130452,1.898830899458028,1.1808770730420015,3.0532888367867743
C(scenario_id)[T.S6],-0.285461343072049,0.7516673977691555,0.49573930662405424,1.1397197464866884
C(scenario_id)[T.S7],0.6779348868671136,1.9698056574975895,1.3918316406233844,2.787789999206834
C(scenario_id)[T.S8],2.434668670237105,11.412036939401123,3.637764688955214,35.80071781488975
