research_question,test,statistic,p_value_raw,effect_size,effect_size_type,p_value_bh,significant_bh_0_05
RQ1,Word count by income category,0.9114341669779221,0.8226676413105928,0.0,epsilon_squared,0.8226676413105928,False
RQ2,Specificity by income category,107.39409394140668,3.9910574127421705e-23,0.09354309492957588,epsilon_squared,1.4367806685871814e-22,True
RQ2,Crisis-number presence by income category,89.99183673469388,2.199431885896852e-19,0.2834604985309333,Cramer's V,6.598295657690555e-19,True
RQ2,Crisis-number presence by service reference,69.43512219702696,8.362859293640669e-16,0.24898924639183528,Cramer's V,1.8816433410691504e-15,True
RQ2,Possible fabrication by service reference,7.749800159872102,0.020756411752076608,0.08318331821018703,Cramer's V,0.02668681510981278,True
RQ2,Possible fabrication by income category,6.0431654676259,0.10952891320567183,0.07345531603115876,Cramer's V,0.12322002735638081,False
RQ3,Religion mentions by income category,81.70906202225665,1.3194672783029412e-17,0.07052783335327656,epsilon_squared,3.3929158584932773e-17,True
RQ3,Religion mentions by WHO region,120.32209793795545,2.6823034002727018e-24,0.10352073423514851,epsilon_squared,1.2070365301227157e-23,True
RQ3,Family mentions by income category,15.465242477911824,0.0014592929223958518,0.011169572112824214,epsilon_squared,0.002020559431009641,True
RQ3,Professional mentions by income category,16.463205233850765,0.0009111081854968916,0.012063803972984555,epsilon_squared,0.0013666622782453374,True
RQ4,Word count by model,895.4485552338172,3.620329609172034e-190,0.7991451529504198,epsilon_squared,6.5165932965096615e-189,True
RQ4,Specificity by model,299.62411064851557,9.84718883163891e-62,0.26381321711456923,epsilon_squared,8.862469948475019e-61,True
RQ4,Possible fabrication by model,25.431654676258997,0.0002839898501406566,0.15068787121853605,Cramer's V,0.00046471066386652904,True
Sensitivity,Specificity versus income rank,0.30585616849311903,1.107072615464992e-25,0.30585616849311903,absolute Spearman rho,6.642435692789952e-25,True
Sensitivity,Word count versus income rank,-0.02622670700730886,0.38054952182834845,0.02622670700730886,absolute Spearman rho,0.40293478781825126,False
Sensitivity,Religion mentions versus income rank,-0.2325662827845721,3.2013838784298024e-15,0.2325662827845721,absolute Spearman rho,6.402767756859604e-15,True
Sensitivity,Professional mentions versus income rank,0.11869269908485812,6.837658314601232e-05,0.11869269908485812,absolute Spearman rho,0.0001230778496628222,True
Sensitivity,Possible fabrication versus income rank,-0.05689824313581611,0.05696290044120362,0.05689824313581611,absolute Spearman rho,0.06835548052944435,False
