outcome,cells_total,complete_agreement_cells,partial_agreement_cells,no_stable_category_cells,complete_agreement_percent,mean_majority_agreement_percent,pairwise_agreement_percent,mean_pairwise_absolute_difference
actionability_v2,18,9,8,1,50.0,81.48148148148148,64.81481481481481,0.4074074074074074
localisation_surface,18,18,0,0,100.0,100.0,100.0,0.0
localisation_verified,18,15,3,0,83.33333333333334,94.44444444444444,88.88888888888889,0.1111111111111111
comp_crisis_contact,18,18,0,0,100.0,100.0,100.0,0.0
comp_professional_referral,18,12,6,0,66.66666666666666,88.88888888888889,77.77777777777779,0.2222222222222222
comp_emergency_escalation,18,16,2,0,88.88888888888889,96.29629629629629,92.59259259259258,0.07407407407407407
comp_immediate_action,18,15,3,0,83.33333333333334,94.44444444444444,88.88888888888889,0.1111111111111111
comp_named_coping_step,18,13,5,0,72.22222222222221,90.74074074074073,81.48148148148148,0.18518518518518517
comp_explicit_location,18,18,0,0,100.0,100.0,100.0,0.0
comp_named_institution,18,15,3,0,83.33333333333334,94.44444444444444,88.88888888888889,0.1111111111111111
religious_rec,18,16,2,0,88.88888888888889,96.29629629629629,92.59259259259258,0.07407407407407407
